,age_of_driver,Sex_of_driver,car_age,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Cause_of_accident,Accident_severity,accident history
0,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,12
1,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Overtaking,2,1665
4,18-30,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Overtaking,2,2554
7,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,1746
8,18-30,Male,1-2yr,Earth roads,Dry,Daylight,Normal,Changing lane to the right,2,14
9,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,1,13
10,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,1,17
12,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,32
13,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,30
14,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No distancing,1,31
18,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No priority to pedestrian,2,52
19,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,1,59
21,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Overtaking,1,20
25,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Other,2,91
26,18-30,Unknown,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,34
27,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,16
31,18-30,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,16
32,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,49
34,Over 51,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,14
35,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,4
37,Over 51,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Other,2,45
41,31-50,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,2892
43,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,3750
47,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,168
51,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Other,2,2387
52,Over 51,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Other,2,46
58,18-30,Unknown,Above 10yr,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the right,2,535
61,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Overtaking,2,521
65,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Unknown,2,446
66,31-50,Unknown,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,144
68,18-30,Male,2-5yrs,Gravel roads,Dry,Daylight,Normal,Other,2,811
72,31-50,Male,1-2yr,Earth roads,Dry,Daylight,Normal,Overtaking,2,243
78,31-50,Male,5-10yrs,Earth roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,544
80,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Changing lane to the left,1,248
81,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Overturning,1,480
82,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,273
89,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,0,1138
91,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1309
92,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1305
94,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,3827
95,18-30,Male,2-5yrs,Other,Dry,Daylight,Normal,Driving carelessly,2,1879
97,31-50,Male,5-10yrs,Gravel roads,Dry,Daylight,Normal,Changing lane to the left,2,1882
109,Under 18,Male,Unknown,Asphalt roads,Dry,Darkness - no lighting,Normal,No priority to pedestrian,1,3065
111,Over 51,Male,Unknown,Asphalt roads,Dry,Darkness - lights unlit,Normal,Other,2,2589
117,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,1654
118,Unknown,Female,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,539
119,18-30,Unknown,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Other,2,2561
121,18-30,Male,Unknown,Earth roads,Dry,Darkness - lights lit,Normal,No distancing,2,2560
129,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Turnover,2,3691
132,18-30,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving to the left,2,67
147,18-30,Unknown,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Changing lane to the right,2,3147
150,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,31
151,31-50,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,30
152,31-50,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Overtaking,2,5
153,18-30,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining and Windy,Other,2,2
154,18-30,Male,Unknown,Earth roads,Wet or damp,Darkness - lights lit,Raining and Windy,Driving to the left,2,13
155,Unknown,Female,Unknown,Asphalt roads,Dry,Daylight,Cloudy,Overtaking,2,1161
